age,gender,height_cm,weight_kg,target_weight_kg,goal,activity_level,dietary_preference,sleep_hours,stress_score,workout_freq,bmr,tdee,target_calories,target_protein,target_carbs,target_fat
38,female,172.5,63.1,72.2,muscle_gain,sedentary,non_vegetarian,5.8,8,1,1358.4,1630.1,2039.7,144.1,238.3,56.7
33,male,170.8,83.1,88.0,muscle_gain,active,non_vegetarian,7.0,4,5,1738.3,2998.6,3503.1,187.9,469.0,97.3
29,male,188.5,41.3,41.3,maintenance,active,vegan,7.3,2,2,1451.5,2503.8,2565.5,71.5,390.3,79.8
30,male,173.6,79.3,69.2,weight_loss,moderate,vegetarian,6.3,2,6,1732.9,2686.0,2055.6,164.1,221.3,57.1
27,male,178.9,98.7,107.7,muscle_gain,sedentary,vegetarian,6.3,8,2,1974.8,2369.7,2677.4,199.5,302.5,74.4
21,male,172.0,90.8,92.0,endurance,light,keto,6.2,2,6,1883.1,2589.2,2816.7,176.0,35.2,219.1
24,female,166.6,65.2,65.2,maintenance,active,keto,7.1,1,6,1411.9,2435.4,2506.2,156.6,31.3,194.9
22,male,173.4,72.5,59.9,weight_loss,active,vegan,6.2,9,4,1703.7,2938.9,2331.8,147.4,289.8,64.8
32,male,178.1,78.1,78.0,endurance,light,vegan,5.8,9,1,1738.8,2390.8,2572.6,145.4,317.8,80.0
18,male,172.6,73.2,68.2,weight_loss,sedentary,non_vegetarian,6.2,7,1,1726.0,2071.2,1533.4,157.1,130.4,42.6
28,male,179.2,104.4,103.5,endurance,sedentary,keto,8.2,8,3,2029.3,2435.1,2648.9,165.6,33.1,206.0
32,female,162.5,41.0,40.2,endurance,light,non_vegetarian,7.5,9,1,1104.2,1518.3,1717.0,77.5,231.6,53.4
30,female,180.2,61.7,52.7,weight_loss,sedentary,keto,8.5,3,1,1432.4,1718.9,1229.9,76.9,15.4,95.7
29,male,166.7,94.0,101.7,muscle_gain,sedentary,vegetarian,5.9,10,2,1841.6,2209.9,2617.6,194.6,296.2,72.7
37,male,168.7,97.6,83.4,weight_loss,active,vegan,8.0,4,3,1850.9,3192.8,2579.6,201.2,282.4,71.7
35,female,178.3,52.1,57.3,muscle_gain,moderate,keto,8.1,2,1,1299.7,2014.6,2324.4,145.3,29.1,180.8
30,female,159.5,45.4,36.3,weight_loss,sedentary,non_vegetarian,6.7,2,2,1139.6,1367.6,1200.0,92.6,132.5,33.3
19,female,166.3,53.0,53.0,maintenance,light,keto,8.4,5,5,1313.1,1805.6,1889.5,118.1,23.6,147.0
22,male,173.4,89.4,89.4,maintenance,sedentary,non_vegetarian,8.6,9,2,1872.8,2247.3,2164.4,150.1,239.6,67.3
32,female,172.1,44.7,44.7,maintenance,very_active,non_vegetarian,6.2,5,5,1202.0,2283.9,2296.5,81.1,332.4,71.4
32,female,168.5,49.2,49.2,maintenance,sedentary,vegetarian,8.4,1,1,1223.5,1468.2,1410.1,88.1,165.6,43.9
35,female,165.1,67.0,75.2,muscle_gain,moderate,non_vegetarian,7.0,1,1,1365.8,2117.0,2492.6,145.1,322.3,69.2
23,male,177.9,82.1,90.9,muscle_gain,very_active,vegetarian,6.0,3,1,1822.6,3463.0,3731.3,178.5,521.2,103.6
48,female,166.3,49.7,49.7,maintenance,sedentary,vegan,6.4,2,3,1135.5,1362.6,1389.5,82.7,167.5,43.2
20,female,168.5,77.9,87.7,muscle_gain,light,non_vegetarian,8.6,1,2,1571.2,2160.4,2448.6,174.7,284.4,68.0
39,female,165.9,73.9,72.5,endurance,light,vegan,6.8,1,4,1419.5,1951.8,2274.2,133.8,275.4,70.8
27,male,170.0,65.5,70.6,muscle_gain,active,vegan,6.3,1,6,1587.8,2738.9,3013.3,146.6,418.4,83.7
29,male,178.7,81.9,83.4,endurance,moderate,vegan,6.5,9,4,1795.8,2783.5,3057.5,154.8,395.6,95.1
30,female,173.2,60.8,55.7,weight_loss,sedentary,vegan,6.4,2,5,1379.6,1655.5,1249.8,139.2,95.2,34.7
36,female,157.0,51.1,51.1,maintenance,moderate,keto,7.6,9,1,1151.7,1785.2,1811.0,113.2,22.6,140.9
27,female,168.0,69.7,77.7,muscle_gain,moderate,vegetarian,8.7,9,6,1450.8,2248.7,2593.0,139.4,346.9,72.0
21,male,163.9,71.7,71.7,maintenance,active,vegetarian,8.7,10,3,1641.7,2832.0,2904.8,135.1,387.7,90.4
32,male,166.0,80.4,80.4,maintenance,very_active,vegan,6.6,5,5,1687.0,3205.2,3242.3,144.7,438.9,100.9
21,male,177.2,78.8,86.5,muscle_gain,active,keto,8.7,10,5,1795.8,3097.8,3329.6,208.1,41.6,259.0
33,female,166.9,77.0,76.2,endurance,very_active,vegetarian,8.3,10,6,1487.3,2825.8,3121.4,128.1,433.8,97.1
18,female,156.4,70.2,70.9,endurance,active,keto,7.3,3,6,1428.5,2464.2,2705.3,169.1,33.8,210.4
35,male,206.8,86.0,86.0,maintenance,very_active,vegan,8.8,4,6,1982.6,3766.9,3895.2,140.0,561.1,121.2
39,female,167.6,60.2,63.4,muscle_gain,light,non_vegetarian,7.2,2,4,1293.4,1778.4,2176.9,124.8,283.3,60.5
22,female,161.3,58.2,64.0,muscle_gain,active,keto,6.0,1,1,1319.1,2275.5,2632.0,164.5,32.9,204.7
53,female,149.9,72.2,75.6,muscle_gain,light,keto,6.4,2,4,1233.4,1695.9,1947.0,121.7,24.3,151.4
25,male,184.7,78.9,80.7,endurance,very_active,vegan,7.6,9,4,1823.4,3464.5,3546.1,147.3,491.0,110.3
22,female,167.8,55.2,60.0,muscle_gain,active,keto,6.4,5,5,1329.8,2294.0,2661.1,166.3,33.3,207.0
30,female,158.4,89.7,93.2,muscle_gain,moderate,keto,6.5,5,3,1576.5,2443.6,2846.7,177.9,35.6,221.4
18,female,164.3,56.1,50.3,weight_loss,light,non_vegetarian,8.0,2,4,1336.5,1837.7,1371.9,123.9,133.4,38.1
22,female,162.2,70.1,70.1,maintenance,very_active,keto,7.0,4,4,1443.3,2742.3,2813.6,175.8,35.2,218.8
18,female,160.7,58.3,49.6,weight_loss,very_active,keto,8.8,5,4,1336.1,2538.6,1998.7,124.9,25.0,155.5
47,female,165.8,48.9,53.8,muscle_gain,active,non_vegetarian,6.9,7,6,1129.2,1947.8,2361.1,104.9,337.8,65.6
51,male,184.3,56.7,58.3,endurance,light,vegetarian,7.8,2,6,1468.9,2019.8,2187.5,100.8,292.9,68.1
42,female,158.0,69.3,72.7,muscle_gain,active,non_vegetarian,6.2,6,3,1310.0,2259.8,2670.5,146.5,354.2,74.2
20,female,162.6,40.0,40.0,maintenance,active,vegan,7.1,9,1,1006.2,1735.7,1682.3,74.0,228.9,52.3
27,female,154.3,83.6,91.9,muscle_gain,sedentary,vegetarian,6.2,1,5,1504.0,1804.9,2062.4,191.0,195.7,57.3
25,male,177.0,98.2,105.9,muscle_gain,light,keto,7.5,4,4,1968.3,2706.4,2924.8,182.8,36.6,227.5
41,female,163.1,52.2,52.2,maintenance,light,vegetarian,6.1,5,1,1175.4,1616.2,1638.6,95.7,199.2,51.0
31,male,171.2,79.0,79.0,maintenance,very_active,keto,6.9,4,1,1709.8,3248.5,3211.0,200.7,40.1,249.7
31,male,181.3,100.2,87.6,weight_loss,moderate,vegetarian,5.6,9,4,1985.1,3077.0,2481.3,217.4,247.9,68.9
51,female,149.3,62.2,59.0,weight_loss,very_active,vegan,7.2,7,3,1139.1,2164.4,1693.7,132.2,185.5,47.0
32,female,158.6,61.5,69.6,muscle_gain,active,non_vegetarian,6.4,9,4,1285.5,2217.5,2529.6,140.8,333.4,70.3
24,female,168.9,68.3,67.6,endurance,very_active,vegan,8.8,5,4,1457.8,2769.7,2908.0,114.3,409.1,90.5
38,male,178.5,89.4,88.7,endurance,very_active,keto,7.2,6,2,1824.2,3465.9,3735.2,233.4,46.7,290.5
21,female,159.1,73.0,78.4,muscle_gain,moderate,vegan,8.0,5,5,1457.9,2259.8,2657.6,165.3,333.0,73.8
29,male,176.9,95.9,103.9,muscle_gain,sedentary,non_vegetarian,8.2,8,6,1924.7,2309.7,2612.5,205.9,283.9,72.6
35,female,161.6,61.4,60.6,endurance,sedentary,vegetarian,6.4,10,3,1287.8,1545.3,1802.9,105.7,218.8,56.1
38,female,168.7,79.7,79.7,maintenance,active,vegan,7.1,5,3,1500.0,2587.5,2589.1,135.9,330.2,80.5
36,male,173.5,82.5,78.1,weight_loss,light,vegan,8.2,3,2,1734.9,2385.4,1878.1,178.3,173.8,52.2
30,male,180.8,66.5,68.4,endurance,moderate,vegan,6.5,6,2,1650.2,2557.8,2930.9,123.0,404.5,91.2
19,female,154.5,77.9,71.6,weight_loss,very_active,non_vegetarian,7.4,3,6,1488.6,2828.3,2383.6,178.6,268.3,66.2
36,female,167.4,63.9,55.3,weight_loss,sedentary,vegan,6.1,1,3,1343.8,1612.5,1200.0,136.2,88.9,33.3
30,female,158.3,75.7,66.8,weight_loss,sedentary,keto,7.5,1,2,1435.1,1722.2,1216.8,76.0,15.2,94.6
21,male,173.4,83.8,83.8,maintenance,sedentary,non_vegetarian,8.2,10,5,1821.7,2186.1,2149.1,137.1,249.6,66.9
21,male,177.9,81.4,80.6,endurance,active,keto,7.6,7,3,1826.5,3150.7,3299.7,206.2,41.2,256.6
25,male,177.9,57.7,51.5,weight_loss,light,non_vegetarian,6.3,9,1,1568.9,2157.2,1587.2,116.8,180.8,44.1
22,male,174.3,82.4,71.1,weight_loss,active,keto,7.1,1,2,1807.9,3118.5,2734.4,170.9,34.2,212.7
38,female,161.9,63.8,63.8,maintenance,active,vegetarian,8.7,10,6,1298.5,2239.9,2172.5,115.2,275.8,67.6
29,male,173.7,82.5,83.1,endurance,sedentary,non_vegetarian,8.4,2,1,1770.7,2124.9,2267.2,154.5,253.7,70.5
35,male,188.3,76.5,76.5,maintenance,very_active,vegan,7.1,5,6,1771.4,3365.7,3406.2,132.5,480.5,106.0
36,female,160.2,66.7,66.7,maintenance,very_active,keto,7.0,10,1,1327.1,2521.5,2522.4,157.7,31.5,196.2
30,female,157.6,64.3,64.3,maintenance,very_active,vegan,6.3,10,5,1316.9,2502.1,2539.4,103.4,353.7,79.0
44,male,183.7,108.1,108.1,maintenance,very_active,vegetarian,6.1,9,6,2014.4,3827.4,3739.3,197.7,475.4,116.3
38,female,164.3,90.3,90.3,maintenance,light,keto,7.7,8,1,1578.5,2170.5,2117.9,132.4,26.5,164.7
21,female,158.8,40.0,40.0,maintenance,active,vegan,5.9,3,3,1111.7,1917.6,1887.4,67.9,271.9,58.7
22,female,164.1,68.1,69.4,endurance,moderate,keto,7.4,8,1,1435.3,2224.8,2561.3,160.1,32.0,199.2
39,female,159.0,53.2,53.2,maintenance,moderate,vegetarian,6.9,9,1,1169.7,1813.0,1839.8,100.6,230.7,57.2
18,female,175.8,78.2,78.3,endurance,sedentary,non_vegetarian,7.2,8,1,1629.4,1955.3,2125.0,139.7,242.8,66.1
18,male,186.8,76.4,76.4,maintenance,very_active,non_vegetarian,7.0,8,1,1846.7,3508.7,3638.9,143.5,511.5,113.2
18,male,171.2,78.1,85.0,muscle_gain,light,vegan,5.8,2,4,1765.8,2427.9,2781.8,169.1,352.4,77.3
25,male,181.0,63.1,69.7,muscle_gain,active,vegan,8.4,8,2,1641.7,2831.9,3168.3,131.4,462.7,88.0
31,female,166.6,72.5,82.0,muscle_gain,active,non_vegetarian,8.6,2,3,1450.7,2502.4,2756.1,156.1,360.6,76.6
18,female,171.9,68.0,68.0,maintenance,very_active,vegan,6.5,5,5,1503.5,2856.7,2792.6,125.5,377.1,86.9
45,female,163.8,78.2,83.6,muscle_gain,active,keto,7.4,9,4,1419.3,2448.3,2804.0,175.2,35.1,218.1
50,female,175.3,61.0,61.0,maintenance,light,non_vegetarian,6.3,7,1,1294.7,1780.2,1832.1,108.1,221.7,57.0
36,female,172.6,52.4,54.4,endurance,active,keto,8.3,3,4,1261.8,2176.7,2425.6,151.6,30.3,188.7
40,male,161.9,61.4,70.5,muscle_gain,very_active,vegan,7.0,9,4,1431.4,2719.7,2881.9,138.9,401.4,80.1
27,male,181.7,99.0,102.5,muscle_gain,active,non_vegetarian,6.4,10,6,1996.2,3443.5,3801.9,221.2,491.7,105.6
46,female,153.3,43.6,29.2,weight_loss,moderate,keto,7.7,8,5,1003.0,1554.6,1200.0,75.0,15.0,93.3
33,male,175.7,49.1,34.1,weight_loss,light,vegan,7.0,2,6,1428.9,1964.8,1460.9,109.2,164.7,40.6
18,male,181.4,83.1,84.7,endurance,light,vegan,8.3,5,3,1879.8,2584.7,2706.2,134.1,353.0,84.2
24,female,155.6,63.2,63.3,endurance,light,non_vegetarian,8.3,3,2,1323.9,1820.3,2078.2,111.8,262.2,64.7
20,male,180.0,70.6,70.6,endurance,very_active,non_vegetarian,6.3,5,4,1736.0,3298.3,3415.1,125.3,489.5,106.2
28,female,155.8,57.4,46.3,weight_loss,active,vegan,7.0,6,5,1246.0,2149.4,1590.1,117.5,180.6,44.2
49,female,163.2,55.6,57.0,endurance,moderate,keto,6.2,7,4,1170.3,1814.0,2026.9,126.7,25.3,157.6
28,male,174.2,86.6,93.6,muscle_gain,active,vegan,6.5,7,3,1819.9,3139.4,3568.7,199.0,470.2,99.1
24,male,171.4,74.1,61.1,weight_loss,very_active,keto,8.7,4,5,1697.7,3225.6,2537.4,158.6,31.7,197.4
18,female,172.6,83.7,91.4,muscle_gain,light,vegan,7.8,3,6,1664.9,2289.3,2619.6,185.5,305.6,72.8
35,male,178.5,121.1,117.7,weight_loss,moderate,keto,6.8,3,1,2156.6,3342.7,2938.2,183.6,36.7,228.5
28,female,156.3,44.7,44.7,maintenance,active,non_vegetarian,8.3,6,5,1123.2,1937.5,1949.3,74.2,276.8,60.6
22,female,153.0,56.2,66.0,muscle_gain,moderate,keto,6.5,6,1,1247.9,1934.3,2210.2,138.1,27.6,171.9
46,female,169.2,63.9,50.6,weight_loss,light,non_vegetarian,8.9,9,3,1305.4,1794.9,1352.4,141.7,111.8,37.6
30,male,169.1,99.3,99.4,endurance,sedentary,vegan,7.9,5,5,1905.2,2286.2,2526.4,172.4,282.4,78.6
19,female,161.7,53.5,53.5,maintenance,sedentary,non_vegetarian,7.7,9,3,1289.3,1547.2,1483.0,93.2,173.8,46.1
39,male,191.3,58.4,47.6,weight_loss,active,vegan,5.7,1,3,1589.7,2742.2,2280.1,118.8,308.8,63.3
23,female,159.6,56.9,43.3,weight_loss,sedentary,non_vegetarian,7.1,9,4,1290.4,1548.4,1200.0,116.1,109.0,33.3
30,male,169.4,81.8,82.3,endurance,sedentary,keto,8.8,5,1,1731.3,2077.6,2274.1,142.1,28.4,176.9
27,female,156.6,57.1,66.8,muscle_gain,active,keto,8.5,2,6,1253.8,2162.9,2569.8,160.6,32.1,199.9
35,female,156.2,65.2,65.2,maintenance,sedentary,keto,6.5,2,4,1291.9,1550.3,1585.2,99.1,19.8,123.3
18,male,180.3,68.7,72.1,muscle_gain,very_active,vegetarian,9.0,10,2,1729.4,3285.9,3698.1,144.3,549.1,102.7
22,male,161.6,55.2,63.9,muscle_gain,very_active,non_vegetarian,8.2,10,1,1456.9,2768.1,3122.6,114.3,471.3,86.7
32,female,156.7,71.7,80.3,muscle_gain,light,vegan,8.5,3,1,1374.8,1890.4,2128.7,145.8,253.4,59.1
29,female,154.5,56.2,59.3,muscle_gain,very_active,vegan,5.9,7,5,1221.5,2320.9,2674.7,116.9,384.6,74.3
21,male,172.9,92.1,79.8,weight_loss,active,keto,7.3,2,4,1901.7,3280.4,2732.2,170.8,34.2,212.5
38,male,167.0,85.4,76.9,weight_loss,very_active,vegan,5.7,8,4,1712.7,3254.1,2873.2,195.5,343.2,79.8
18,female,157.4,70.9,67.0,weight_loss,active,keto,5.8,10,2,1442.1,2487.7,1975.6,123.5,24.7,153.7
33,male,171.2,79.2,84.9,muscle_gain,moderate,vegan,6.5,9,5,1701.9,2638.0,2974.0,172.6,385.0,82.6
41,female,164.8,68.1,59.9,weight_loss,sedentary,non_vegetarian,6.9,8,4,1344.4,1613.3,1200.0,154.3,70.8,33.3
25,female,160.0,68.7,61.9,weight_loss,moderate,keto,6.4,3,6,1401.2,2171.8,1650.7,103.2,20.6,128.4
32,female,177.5,74.5,70.4,weight_loss,sedentary,vegetarian,8.1,3,5,1533.1,1839.7,1326.6,151.2,97.6,36.8
42,male,172.7,49.5,49.5,maintenance,sedentary,keto,6.7,7,6,1369.3,1643.1,1593.4,99.6,19.9,123.9
18,male,173.2,78.3,78.3,maintenance,very_active,vegan,7.5,4,2,1780.0,3382.0,3552.1,133.5,505.9,110.5
33,female,161.5,74.0,82.9,muscle_gain,sedentary,vegan,8.2,10,2,1422.7,1707.2,1920.8,156.2,203.9,53.4
32,female,168.4,46.3,43.0,weight_loss,very_active,vegan,8.2,6,3,1194.0,2268.7,1829.4,96.4,246.7,50.8
33,male,172.7,86.9,90.4,muscle_gain,light,keto,8.1,1,1,1787.8,2458.3,2999.6,187.5,37.5,233.3
31,male,178.0,71.6,71.0,endurance,active,keto,6.8,6,5,1678.1,2894.7,3015.8,188.5,37.7,234.6
38,male,169.2,79.0,66.9,weight_loss,light,non_vegetarian,5.8,8,6,1662.2,2285.5,1760.0,159.2,170.8,48.9
34,female,165.3,76.5,76.2,endurance,very_active,keto,6.3,9,1,1466.9,2787.0,2941.3,183.8,36.8,228.8
27,female,156.1,58.7,59.4,endurance,sedentary,vegan,7.3,5,1,1266.6,1519.9,1739.4,104.4,208.7,54.1
37,male,168.6,90.2,88.2,endurance,very_active,vegetarian,6.2,3,3,1775.6,3373.7,3719.0,152.5,516.9,115.7
34,female,176.1,54.7,54.7,maintenance,sedentary,vegetarian,7.0,3,4,1317.0,1580.4,1521.4,95.7,178.2,47.3
18,male,188.0,87.2,87.2,maintenance,sedentary,keto,8.5,1,4,1961.4,2353.7,2349.8,146.9,29.4,182.8
32,male,167.0,112.2,112.5,endurance,sedentary,vegan,8.0,7,3,2011.1,2413.4,2623.5,198.8,273.5,81.6
31,male,181.8,84.7,83.4,endurance,sedentary,vegan,7.1,6,1,1833.6,2200.4,2416.5,159.6,275.3,75.2
22,female,166.3,86.6,76.5,weight_loss,light,keto,7.3,7,3,1634.2,2247.1,1817.6,113.6,22.7,141.4
45,female,159.4,52.1,55.6,muscle_gain,moderate,non_vegetarian,7.4,4,3,1131.6,1754.0,2096.1,114.1,279.0,58.2
30,female,170.7,43.7,47.7,muscle_gain,light,vegetarian,7.6,2,2,1192.5,1639.7,2081.0,90.0,300.2,57.8
28,female,160.0,51.9,52.6,endurance,very_active,keto,8.6,10,3,1217.6,2313.5,2388.7,149.3,29.9,185.8
38,female,163.5,48.5,54.8,muscle_gain,active,vegetarian,8.3,10,1,1156.2,1994.4,2253.3,106.2,316.3,62.6
26,female,174.7,60.9,52.5,weight_loss,moderate,keto,5.7,5,1,1409.6,2184.9,1608.9,100.6,20.1,125.1
27,male,173.8,40.2,40.0,endurance,active,vegetarian,7.8,6,5,1358.8,2343.9,2539.8,74.1,383.1,79.0
27,female,167.9,86.2,89.9,muscle_gain,sedentary,keto,8.6,6,6,1615.1,1938.1,2365.4,147.8,29.6,184.0
27,male,167.1,114.0,122.0,muscle_gain,sedentary,non_vegetarian,7.3,10,2,2054.9,2465.9,2820.9,261.9,266.9,78.4
30,female,162.8,66.4,66.4,maintenance,moderate,keto,6.9,6,6,1370.5,2124.2,2115.0,132.2,26.4,164.5
24,male,171.6,77.5,77.5,maintenance,sedentary,vegan,7.9,5,3,1733.1,2079.7,2045.8,126.2,242.2,63.6
22,male,176.9,74.4,74.4,maintenance,sedentary,non_vegetarian,6.6,7,2,1744.6,2093.5,2188.0,139.5,254.3,68.1
18,male,184.7,95.4,95.4,maintenance,very_active,keto,7.8,6,2,2024.0,3845.7,3606.4,225.4,45.1,280.5
26,male,173.0,58.3,56.4,endurance,very_active,vegan,8.8,6,4,1539.4,2924.8,3051.9,98.7,450.8,94.9
18,male,190.0,91.1,94.6,muscle_gain,light,non_vegetarian,5.9,9,6,2013.6,2768.7,3237.7,205.3,401.9,89.9
37,male,167.0,70.7,70.7,maintenance,very_active,non_vegetarian,6.0,3,6,1570.1,2983.2,3027.0,125.8,419.0,94.2
18,male,181.7,74.6,74.1,endurance,sedentary,keto,8.0,8,5,1797.0,2156.4,2329.9,145.6,29.1,181.2
37,female,166.1,59.7,58.9,endurance,light,non_vegetarian,7.1,4,3,1288.9,1772.2,2040.8,110.0,257.3,63.5
19,female,167.3,71.1,71.1,endurance,moderate,keto,7.0,3,2,1500.9,2326.3,2502.9,156.4,31.3,194.7
33,male,166.0,90.9,90.9,maintenance,sedentary,keto,8.6,9,1,1786.8,2144.2,2132.3,133.3,26.7,165.8
24,male,184.4,68.1,68.1,maintenance,sedentary,non_vegetarian,8.7,3,4,1718.8,2062.6,1975.5,114.5,241.0,61.5
18,male,180.8,60.1,69.6,muscle_gain,active,vegan,6.9,6,2,1646.0,2839.4,3357.3,127.7,501.7,93.3
18,female,174.9,66.5,63.2,weight_loss,moderate,non_vegetarian,8.4,6,2,1507.3,2336.3,1831.0,151.6,191.6,50.9
24,male,179.2,77.5,66.1,weight_loss,moderate,keto,6.0,8,4,1779.7,2758.5,2333.3,145.8,29.2,181.5
31,male,177.2,72.9,67.3,weight_loss,sedentary,vegan,8.8,10,5,1686.6,2023.9,1521.3,149.1,136.1,42.3
33,female,151.0,47.8,41.2,weight_loss,moderate,non_vegetarian,7.0,10,4,1096.1,1699.0,1225.8,96.3,133.6,34.0
31,male,174.5,78.3,67.7,weight_loss,active,vegetarian,8.0,5,4,1723.4,2972.8,2498.6,170.1,298.4,69.4
24,male,169.8,80.7,80.7,maintenance,light,keto,6.2,2,5,1753.5,2411.1,2340.3,146.3,29.3,182.0
34,female,151.1,76.3,68.6,weight_loss,very_active,vegetarian,7.7,6,3,1376.8,2615.8,2145.8,163.4,239.0,59.6
32,male,183.9,101.3,101.3,maintenance,sedentary,vegan,7.8,2,5,2007.3,2408.8,2482.1,169.4,277.4,77.2
18,female,154.0,56.5,63.3,muscle_gain,sedentary,vegan,6.1,8,6,1276.8,1532.1,1883.6,126.8,226.4,52.3
35,female,157.9,66.2,74.2,muscle_gain,light,vegetarian,5.6,4,1,1313.4,1805.9,2107.1,151.1,244.0,58.5
23,male,164.7,65.1,55.9,weight_loss,moderate,vegan,7.4,5,1,1570.4,2434.1,1855.7,149.5,198.6,51.5
20,male,184.4,64.7,64.7,maintenance,moderate,vegetarian,6.7,2,3,1704.8,2642.4,2851.1,120.3,392.9,88.7
34,female,164.3,53.7,53.1,endurance,active,keto,6.2,8,3,1232.8,2126.6,2375.5,148.5,29.7,184.8
24,female,163.9,94.7,86.5,weight_loss,active,vegetarian,6.1,5,3,1690.3,2915.8,2408.8,217.7,234.0,66.9
41,male,170.4,77.5,70.8,weight_loss,moderate,vegan,7.0,8,3,1639.9,2541.9,2150.4,169.0,234.3,59.7
23,female,175.7,72.5,66.2,weight_loss,moderate,keto,8.9,1,1,1547.0,2397.8,1865.8,116.6,23.3,145.1
36,female,169.8,71.5,71.5,maintenance,very_active,non_vegetarian,6.0,10,6,1434.9,2726.3,2597.9,134.8,332.9,80.8
22,female,161.3,63.1,57.3,weight_loss,light,vegetarian,6.8,10,1,1368.0,1881.0,1406.7,138.4,125.3,39.1
31,male,165.3,83.3,83.1,endurance,moderate,vegan,6.0,6,4,1716.5,2660.5,2912.9,135.2,389.2,90.6
35,female,170.6,74.0,74.0,maintenance,light,vegetarian,6.2,9,4,1470.1,2021.4,2049.2,119.0,249.7,63.8
29,male,162.7,84.0,84.0,maintenance,moderate,keto,6.3,10,3,1717.1,2661.5,2678.1,167.4,33.5,208.3
32,female,154.1,51.0,60.0,muscle_gain,sedentary,non_vegetarian,8.6,8,1,1152.2,1382.6,1787.3,108.9,226.3,49.6
29,female,167.8,64.3,64.3,maintenance,sedentary,vegan,8.5,3,3,1386.0,1663.2,1664.6,120.1,179.5,51.8
39,male,171.9,79.3,73.5,weight_loss,light,non_vegetarian,6.8,10,3,1677.7,2306.8,1781.7,170.4,163.6,49.5
25,female,160.8,66.7,70.2,muscle_gain,very_active,vegetarian,8.0,8,5,1385.9,2633.2,2940.3,141.4,409.9,81.7
42,female,156.7,61.8,60.3,endurance,very_active,vegetarian,5.8,8,6,1226.2,2329.8,2496.4,104.8,344.5,77.7
44,female,164.4,76.4,84.8,muscle_gain,very_active,non_vegetarian,7.3,1,1,1410.2,2679.3,2894.3,155.8,386.9,80.4
32,male,183.1,79.2,79.2,maintenance,light,non_vegetarian,8.0,6,5,1781.0,2448.9,2527.2,134.4,320.5,78.6
24,female,172.9,91.6,81.0,weight_loss,moderate,non_vegetarian,5.9,5,5,1715.3,2658.7,2135.2,198.3,202.1,59.3
25,male,187.6,100.1,104.3,muscle_gain,very_active,non_vegetarian,8.7,6,5,2053.8,3902.2,4185.5,219.0,565.7,116.3
25,male,173.7,59.2,44.8,weight_loss,sedentary,vegetarian,6.4,4,5,1557.7,1869.2,1331.5,132.1,117.5,37.0
19,female,157.6,63.6,52.9,weight_loss,active,vegan,6.4,7,3,1365.0,2354.6,1867.7,133.0,217.2,51.9
45,female,156.0,75.8,67.5,weight_loss,sedentary,non_vegetarian,6.2,10,2,1347.2,1616.6,1200.0,162.6,62.5,33.3
29,female,167.7,50.5,50.5,maintenance,moderate,keto,6.0,6,5,1247.5,1933.7,1955.9,122.2,24.4,152.1
31,male,179.9,82.0,82.0,maintenance,light,keto,5.9,8,2,1795.1,2468.3,2650.1,165.6,33.1,206.1
